"date","session_time","stationID","number_of_users","average_power_usage"
4439981-06-17,"1620950400","2-39-81-4550",1,34.9826890181321
4440158-11-16,"1621015200","2-39-129-17",1,3.20668839450191
4440612-04-10,"1621180800","2-39-81-4550",1,21.416263568844
4440917-10-28,"1621292400","2-39-81-4550",1,14.4995162404976
4440927-09-06,"1621296000","2-39-81-4550",1,41.9658605974395
4441183-12-13,"1621389600","2-39-81-4550",1,4.93596566523605
4441883-10-04,"1621645200","2-39-81-4550",1,23.4023285899094
4442544-02-21,"1621886400","2-39-78-365",1,1.55412844036697
4442553-12-30,"1621890000","2-39-91-437",1,1.28461538461538
4442563-11-08,"1621893600","2-39-81-4550",1,15.2666874027994
4442780-09-11,"1621972800","2-39-81-4550",1,43.2631578947368
4442829-12-23,"1621990800","2-39-81-4550",1,31.4745424292845
4443056-09-04,"1622073600","2-39-81-4550",1,26.2581376518219
4443312-12-11,"1622167200","2-39-81-4550",1,40.3125485122898
4444308-06-13,"1622530800","2-39-81-4550",1,14.5885090909091
4444485-11-11,"1622595600","2-39-81-4550",1,23.8501619287514
4444742-02-18,"1622689200","2-39-81-4550",1,28.6750382848392
4444751-12-28,"1622692800","2-39-81-4550",1,809.458823529412
4445175-10-26,"1622847600","2-39-81-4550",1,36.3231560891938
4445905-03-13,"1623114000","2-39-81-4550",1,5.08393524283935
4445915-01-20,"1623117600","2-39-81-4550",1,18.6292752250118
4446033-04-30,"1623160800","2-39-131-30",1,6.51612349914237
4446141-10-01,"1623200400","2-39-81-4550",1,27.3095392602206
4446585-04-16,"1623362400","2-39-81-4550",1,27.6324324324324
4446595-02-23,"1623366000","2-39-81-4550",1,16.2616822429906
4446841-07-23,"1623456000","2-39-81-4550",1,18.8203193033382
4447354-02-04,"1623643200","2-39-81-4550",1,38.041404140414
4447561-01-30,"1623718800","2-39-81-4550",1,10.9485148514852
4447580-10-17,"1623726000","2-39-81-4550",1,41.1473962930274
4448063-10-05,"1623902400","2-39-81-4550",1,32.0547469879518
4448280-08-08,"1623981600","2-39-81-4550",1,32.2130030959752
