date,stationID,number_of_users,average_power_usage
2019-10-30,2-39-79-381,1,3.05721111689084
2019-10-30,2-39-79-382,2,0.660910754306092
2019-10-30,2-39-88-24,2,1.15612521036688
2019-10-30,2-39-89-25,1,2.54176080691643
2019-10-30,2-39-89-439,1,1.16561159316576
2019-10-30,2-39-90-26,1,0.404190298507463
2019-10-30,2-39-90-440,1,0.186117358384745
2019-10-30,2-39-91-441,1,5.17784505208334
2019-10-30,2-39-92-442,1,0.486980745596067
2019-10-30,2-39-95-27,1,0.395828355759764
2019-10-31,2-39-123-23,1,1.33447314533623
2019-10-31,2-39-123-557,1,1.64108264572797
2019-10-31,2-39-124-22,1,1.62735799001248
2019-10-31,2-39-130-31,1,4.7318275862069
2019-10-31,2-39-131-30,2,3.50237818120796
2019-10-31,2-39-139-28,2,2.02190750429559
2019-10-31,2-39-78-360,2,0.898961420940294
2019-10-31,2-39-78-365,1,0.178187121136838
2019-10-31,2-39-78-366,1,4.16111988513999
2019-10-31,2-39-79-376,1,3.05581215163853
2019-10-31,2-39-79-377,1,3.06039598379426
2019-10-31,2-39-79-379,1,0.622105802047782
2019-10-31,2-39-79-380,2,0.583981449072453
2019-10-31,2-39-79-382,1,0.175183246073298
2019-10-31,2-39-79-383,2,3.77380722873617
2019-10-31,2-39-88-24,1,5.35697339496083
2019-10-31,2-39-89-25,1,1.239
2019-10-31,2-39-91-437,1,1.73528396322778
2019-10-31,2-39-91-441,1,0.118346290695606
2019-10-31,2-39-92-436,2,1.14025697211155
2019-10-31,2-39-95-27,1,0.967720812182741
2019-10-31,2-39-95-444,1,0.0476311405584477
2019-11-01,2-39-123-23,2,1.18325599220398
2019-11-01,2-39-131-30,2,2.32651694525902
2019-11-01,2-39-139-28,2,2.20460099735753
2019-11-01,2-39-78-360,1,1.61435262312424
2019-11-01,2-39-78-361,4,0.466753255381532
2019-11-01,2-39-78-362,1,0.233115382003396
2019-11-01,2-39-78-363,1,3.19157736727537
2019-11-01,2-39-78-365,1,2.115
2019-11-01,2-39-78-366,2,1.3382971467541
2019-11-01,2-39-78-367,1,0.910395557201037
2019-11-01,2-39-79-376,1,0.776764569103328
2019-11-01,2-39-79-377,2,1.91640722995531
2019-11-01,2-39-79-378,1,2.36282008368201
2019-11-01,2-39-79-379,1,2.89556038789304
2019-11-01,2-39-79-380,1,1.30465396553569
2019-11-01,2-39-79-382,1,1.79647058823529
2019-11-01,2-39-79-383,1,0.0499587496215562
